,cidade_estado,endereco,lat_lon,latitude,longitude
898,"Russas, Ceará","Russas - State of Ceará, Brazil","(-4.9284453, -37.9636424)",-4.9284453,-37.9636424
899,"Ruy barbosa, Rio Grande do Norte","Ruy Barbosa - State of Rio Grande do Norte, Brazil","(-5.881195399999999, -35.9346214)",-5.881195399999999,-35.9346214
900,"S.g. amarante, Rio Grande do Norte","São Gonçalo do Amarante - State of Rio Grande do Norte, 59290-000, Brazil","(-5.7852461, -35.3288131)",-5.7852461,-35.3288131
901,"S.g.a, Rio Grande do Norte","São Gonçalo do Amarante, State of Rio Grande do Norte, 59290-000, Brazil","(-5.785278799999999, -35.328873)",-5.785278799999999,-35.328873
902,"Sabará, Minas Gerais","Sabará, State of Minas Gerais, Brazil","(-19.8838287, -43.8534085)",-19.8838287,-43.8534085
903,"Saboeiro, Ceará","Saboeiro - State of Ceará, Brazil","(-6.4605786, -39.8990473)",-6.4605786,-39.8990473
904,"Salgado filho, Paraná","Salgado Filho - State of Paraná, Brazil","(-26.1750571, -53.3610386)",-26.1750571,-53.3610386
905,"Salgueiro, Pernambuco","Salgueiro, State of Pernambuco, 56000-000, Brazil","(-8.072506599999999, -39.1268089)",-8.072506599999999,-39.1268089
906,"Salinas, Minas Gerais","Salinas - MG, Brazil","(-16.1679216, -42.29393899999999)",-16.1679216,-42.29393899999999
907,"Salto do jacuí, Rio Grande do Sul","Salto do Jacuí - RS, Brazil","(-29.0891811, -53.2114401)",-29.0891811,-53.2114401
908,"Salto, São Paulo","Salto - Ajudante, Salto - State of São Paulo, Brazil","(-23.2000805, -47.293538)",-23.2000805,-47.293538
909,"Salvador, Bahia","Salvador - State of Bahia, Brazil","(-12.977749, -38.5016301)",-12.977749,-38.5016301
910,"Santa bárbara, Minas Gerais","Santa Bárbara - State of Minas Gerais, Brazil","(-19.9636006, -43.4123465)",-19.9636006,-43.4123465
911,"Santa cruz cabrália, Bahia","Santa Cruz Cabrália - State of Bahia, 45807-000, Brazil","(-16.2835098, -39.0377358)",-16.2835098,-39.0377358
912,"Santa cruz do capibaribe, Pernambuco","Santa Cruz do Capibaribe, PE, 55190-000, Brazil","(-7.948433099999999, -36.2064182)",-7.948433099999999,-36.2064182
913,"Santa cruz do sul, Rio Grande do Sul","Santa Cruz do Sul, RS, Brazil","(-29.722516, -52.43483819999999)",-29.722516,-52.43483819999999
914,"Santa cruz, Não Informado","Santa Cruz, CA, USA","(36.9741171, -122.0307963)",36.9741171,-122.0307963
915,"Santa cruz, Paraíba","Santa Cruz - State of Paraíba, Brazil","(-6.5400051, -38.08430080000001)",-6.5400051,-38.08430080000001
916,"Santa cruz, Rio Grande do Norte","Santa Cruz - State of Rio Grande do Norte, Brazil","(-6.2239726, -36.0202696)",-6.2239726,-36.0202696
